Region,Commune,Prix_m2_appart_regression,Prix_m2_villa_regression
Rabat-Salé-Kénitra,Ait Mimoune,4 273 MAD,6 614 MAD
Rabat-Salé-Kénitra,Ait Ali ou Lahcen,4 272 MAD,7 871 MAD
Rabat-Salé-Kénitra,Sidi Taibi,4 256 MAD,7 292 MAD
Rabat-Salé-Kénitra,Sidi Kacem,4 101 MAD,6 976 MAD
Rabat-Salé-Kénitra,Souk El Arbaa,4 062 MAD,7 674 MAD
Rabat-Salé-Kénitra,Sabbah,4 009 MAD,7 901 MAD
Rabat-Salé-Kénitra,Ain Sbit,4 009 MAD,8 073 MAD
Rabat-Salé-Kénitra,Sidi Ahmed Benaissa,4 009 MAD,8 073 MAD
Rabat-Salé-Kénitra,Dar Gueddari,4 003 MAD,7 204 MAD
Rabat-Salé-Kénitra,Rommani,4 002 MAD,7 674 MAD
Rabat-Salé-Kénitra,Sidi Slimane,4 002 MAD,7 718 MAD
Rabat-Salé-Kénitra,Sidi Yahya El Gharb,3 693 MAD,7 194 MAD
Casablanca-Settat,Anfa,16 990 MAD,18 760 MAD
Casablanca-Settat,Sidi Belyout,15 380 MAD,16 800 MAD
Casablanca-Settat,El Maarif,14 150 MAD,13 070 MAD
Casablanca-Settat,Soualem Trifiya,13 720 MAD,7 901 MAD
Casablanca-Settat,Mers-Sultan,13 010 MAD,16 210 MAD
Casablanca-Settat,Oulad Azzouz,12 970 MAD,
Casablanca-Settat,Dar Bouazza,12 870 MAD,10 090 MAD
Casablanca-Settat,Bouskoura,12 070 MAD,13 761 MAD
Casablanca-Settat,Aîn-Chock,11 790 MAD,13 610 MAD
Casablanca-Settat,Al-Fida,11 650 MAD,11 900 MAD
Casablanca-Settat,Hay-Hassani,11 440 MAD,17 080 MAD
Casablanca-Settat,Charrate,11 330 MAD,6 874 MAD
Casablanca-Settat,Lamharza Essahel,10 580 MAD,7 292 MAD
Casablanca-Settat,Assoukhour Assawda,10 090 MAD,6 023 MAD
Casablanca-Settat,Tit Mellil,9 538 MAD,7 640 MAD
Casablanca-Settat,Zaouiat Sidi Ben Hamdoun,9 484 MAD,8 088 MAD
Casablanca-Settat,El Mansouria,9 223 MAD,10 833 MAD
Casablanca-Settat,Bouznika,9 039 MAD,9 112 MAD
Casablanca-Settat,Mohammadia,8 932 MAD,10 460 MAD
Casablanca-Settat,Ain Harrouda,8 600 MAD,6 859 MAD
Casablanca-Settat,Aîn-Sebaâ,8 169 MAD,9 981 MAD
Casablanca-Settat,Sidi Rahal Chatai,7 844 MAD,4 066 MAD
Casablanca-Settat,Nouaceur,7 780 MAD,7 739 MAD
Casablanca-Settat,Oulad Salah,7 761 MAD,7 674 MAD
Casablanca-Settat,Sidi Othmane,7 303 MAD,7 976 MAD
Casablanca-Settat,Hay Mohammadi,7 301 MAD,13 840 MAD
Casablanca-Settat,Ben M'Sick,7 128 MAD,22 360 MAD
Casablanca-Settat,Moulay Rachid,7 064 MAD,13 910 MAD
Casablanca-Settat,Sidi Bernoussi,6 995 MAD,9 205 MAD
Casablanca-Settat,Mogress,6 851 MAD,7 493 MAD
Casablanca-Settat,Sbata,6 781 MAD,17 910 MAD
Casablanca-Settat,Sidi Moumen,6 765 MAD,10 630 MAD
Casablanca-Settat,El Jadida,6 582 MAD,5 842 MAD
Casablanca-Settat,Haouzia,6 503 MAD,7 901 MAD
Casablanca-Settat,Sidi Hajjaj Oued Hassar,6 244 MAD,7 901 MAD
Casablanca-Settat,Al Majjatia Oulad Taleb,5 917 MAD,7 901 MAD
Casablanca-Settat,Ain Tizgha,5 914 MAD,7 674 MAD
Casablanca-Settat,Lbir Jdid,5 867 MAD,1 073 MAD
Casablanca-Settat,Benslimane,5 688 MAD,5 416 MAD
Casablanca-Settat,Berrechid,5 565 MAD,9 415 MAD
Casablanca-Settat,Deroua,5 443 MAD,8 716 MAD
Casablanca-Settat,Ech-challalate,5 430 MAD,7 901 MAD
Casablanca-Settat,Had Soualem,4 987 MAD,10 248 MAD
Casablanca-Settat,Bir Ennasr,4 969 MAD,8 102 MAD
Casablanca-Settat,Settat,4 948 MAD,7 201 MAD
Casablanca-Settat,Azemmour,4 934 MAD,6 032 MAD
Casablanca-Settat,Oulad Ali Toualaa,4 591 MAD,8 015 MAD
Casablanca-Settat,Sidi Bettache,4 591 MAD,8 015 MAD
Casablanca-Settat,Ziaida,4 591 MAD,7 018 MAD
Casablanca-Settat,Rdadna Oulad Malek,4 591 MAD,6 441 MAD
Casablanca-Settat,Foqra Oulad Aameur,4 591 MAD,8 102 MAD
Casablanca-Settat,Jaqma,4 591 MAD,8 015 MAD
Casablanca-Settat,Ouled Zidane,4 591 MAD,8 015 MAD
Casablanca-Settat,Sidi Abdelkhaleq,4 591 MAD,7 348 MAD
Casablanca-Settat,Sahel Oulad H'Riz,4 591 MAD,7 901 MAD
Casablanca-Settat,Oulad Hamdane,4 591 MAD,8 015 MAD
Casablanca-Settat,Chaibate,4 591 MAD,6 713 MAD
Casablanca-Settat,Laghdira,4 591 MAD,7 321 MAD
Casablanca-Settat,My Abdellah,4 591 MAD,7 985 MAD
Casablanca-Settat,Si Hsaien Ben Abderrahmane,4 591 MAD,8 015 MAD
Casablanca-Settat,Sidi Smail,4 591 MAD,7 732 MAD
Casablanca-Settat,Sebt Saiss,4 591 MAD,7 901 MAD
Casablanca-Settat,Sidi Moussa Majdoub,4 591 MAD,7 901 MAD
Casablanca-Settat,M'Garto,4 591 MAD,8 015 MAD
Casablanca-Settat,Guisser,4 591 MAD,7 988 MAD
Casablanca-Settat,Mzoura,4 591 MAD,7 348 MAD
Casablanca-Settat,Sgamna,4 591 MAD,8 015 MAD
Casablanca-Settat,Ras El Ain Chaouia,4 591 MAD,7 663 MAD
Casablanca-Settat,Sidi El Aidi,4 591 MAD,8 015 MAD
Casablanca-Settat,Toualet,4 591 MAD,7 348 MAD
Casablanca-Settat,Machraa Ben Abbou,4 591 MAD,7 348 MAD
Casablanca-Settat,Oulad Bouali Nouaja,4 591 MAD,8 102 MAD
Casablanca-Settat,Oulad Freiha,4 591 MAD,8 015 MAD
Casablanca-Settat,Bouguargouh,4 591 MAD,8 015 MAD
Casablanca-Settat,Ain Blal,4 591 MAD,8 102 MAD
Casablanca-Settat,Khemisset Chaouia,4 591 MAD,6 396 MAD
Casablanca-Settat,Lakhzazra,4 591 MAD,8 015 MAD
Casablanca-Settat,Mrizigue,4 591 MAD,8 102 MAD
Casablanca-Settat,Oulad Chbana,4 591 MAD,7 988 MAD
Casablanca-Settat,Sidi Mohammed Ben Rahal,4 591 MAD,7 348 MAD
Casablanca-Settat,M'Tal,4 591 MAD,7 435 MAD
Casablanca-Settat,Loualidia,4 591 MAD,6 977 MAD
Casablanca-Settat,Laagagcha,4 591 MAD,8 015 MAD
Casablanca-Settat,Oulad Amer,4 587 MAD,7 321 MAD
Casablanca-Settat,Ouled Cebbah,4 587 MAD,7 919 MAD
Casablanca-Settat,Bni Yagrine,4 587 MAD,7 121 MAD
Casablanca-Settat,Oulad Fares El Halla,4 581 MAD,8 015 MAD
Casablanca-Settat,Sidi Boumehdi,4 565 MAD,7 943 MAD
Casablanca-Settat,Ben Maachou,4 337 MAD,7 660 MAD
Casablanca-Settat,Sidi Abdelkrim,4 336 MAD,7 788 MAD
Casablanca-Settat,Riah,4 318 MAD,8 015 MAD
Casablanca-Settat,Gdana,4 318 MAD,7 348 MAD
Casablanca-Settat,Laqraqra,4 318 MAD,8 088 MAD
Casablanca-Settat,El Borouj,4 315 MAD,7 901 MAD
Casablanca-Settat,Sidi El Mekki,4 314 MAD,7 674 MAD
Casablanca-Settat,Zemamra,4 310 MAD,6 977 MAD
Casablanca-Settat,Sidi Bennour,4 307 MAD,7 644 MAD
Casablanca-Settat,Mettouh,4 283 MAD,7 234 MAD
Casablanca-Settat,Mzamza Janoubia,4 283 MAD,8 015 MAD
Casablanca-Settat,N'Khila,4 283 MAD,8 140 MAD
Casablanca-Settat,Oulad Fares,4 283 MAD,8 102 MAD
Casablanca-Settat,Meskoura,4 283 MAD,8 102 MAD
Casablanca-Settat,Oulad Boussaken,4 283 MAD,7 348 MAD
Casablanca-Settat,Tamda,4 283 MAD,7 234 MAD
Casablanca-Settat,Oulad Ziyane,4 282 MAD,7 901 MAD
Casablanca-Settat,Oulad Said,4 282 MAD,7 674 MAD
Casablanca-Settat,Sidi Ahmed El Khadir,4 282 MAD,7 435 MAD
Casablanca-Settat,Ahlaf,4 282 MAD,7 985 MAD
Casablanca-Settat,Fdalate,4 282 MAD,7 901 MAD
Casablanca-Settat,Laghnimyine,4 282 MAD,7 406 MAD
Casablanca-Settat,Lahsasna,4 282 MAD,8 030 MAD
Casablanca-Settat,Lambarkiyine,4 282 MAD,8 015 MAD
Casablanca-Settat,Zaouiat Lakouacem,4 282 MAD,6 101 MAD
Casablanca-Settat,Oulad Aissa,4 282 MAD,
Casablanca-Settat,Boulaouane,4 282 MAD,5 862 MAD
Casablanca-Settat,Oulad Rahmoune,4 282 MAD,8 118 MAD
Casablanca-Settat,Oulad Sidi Ali Ben Youssef,4 282 MAD,7 363 MAD
Casablanca-Settat,Ouled Frej,4 282 MAD,8 073 MAD
Casablanca-Settat,Ouled Ghanem,4 282 MAD,7 234 MAD
Casablanca-Settat,Ouled Hcine,4 282 MAD,7 538 MAD
Casablanca-Settat,Sidi M'Hamed Akhdim,4 282 MAD,8 112 MAD
Casablanca-Settat,Sidi Abed,4 282 MAD,7 204 MAD
Casablanca-Settat,Zaouiat Saiss,4 282 MAD,7 204 MAD
Casablanca-Settat,Bni Yakhlef,4 282 MAD,6 456 MAD
Casablanca-Settat,Mniaa,4 282 MAD,8 072 MAD
Casablanca-Settat,Ain Dorbane-Lahlaf,4 282 MAD,8 030 MAD
Casablanca-Settat,Dar Chaffai,4 282 MAD,8 072 MAD
Casablanca-Settat,Oued Naanaa,4 282 MAD,7 971 MAD
Casablanca-Settat,Sidi Hajjaj,4 282 MAD,7 959 MAD
Casablanca-Settat,Sidi Dahbi,4 282 MAD,7 857 MAD
Casablanca-Settat,Lahouaza,4 282 MAD,7 348 MAD
Casablanca-Settat,Oulad Sghir,4 282 MAD,8 073 MAD
Casablanca-Settat,Oulad M'Hamed,4 282 MAD,8 073 MAD
Casablanca-Settat,Rima,4 282 MAD,8 112 MAD
Casablanca-Settat,Bouhmame,4 282 MAD,7 234 MAD
Casablanca-Settat,Laamria,4 282 MAD,6 408 MAD
Casablanca-Settat,Laaounate,4 282 MAD,7 493 MAD
Casablanca-Settat,Laatatra,4 282 MAD,7 204 MAD
Casablanca-Settat,Oulad Sbaita,4 282 MAD,7 901 MAD
Casablanca-Settat,Khmis Ksiba,4 282 MAD,7 435 MAD
Casablanca-Settat,Saniat Berguig,4 282 MAD,7 204 MAD
Casablanca-Settat,Bni Hilal,4 282 MAD,5 873 MAD
Casablanca-Settat,Jabria,4 282 MAD,7 321 MAD
Casablanca-Settat,Koudiat Bni Dghough,4 282 MAD,7 405 MAD
Casablanca-Settat,Kridid,4 282 MAD,7 204 MAD
Casablanca-Settat,Lmechrek,4 282 MAD,7 204 MAD
Casablanca-Settat,Metrane,4 282 MAD,7 493 MAD
Casablanca-Settat,Oulad Amrane,4 282 MAD,7 674 MAD
Casablanca-Settat,Oulad Si Bouhya,4 282 MAD,7 292 MAD
Casablanca-Settat,Chtouka,4 282 MAD,7 959 MAD
Casablanca-Settat,Laghnadra,4 282 MAD,7 871 MAD
Casablanca-Settat,Bni Tsiriss,4 280 MAD,7 405 MAD
Casablanca-Settat,Kasbat Ben Mchich,4 278 MAD,7 758 MAD
Casablanca-Settat,Sidi Ali Ben Hamdouche,4 278 MAD,7 674 MAD
Casablanca-Settat,Bni Khloug,4 278 MAD,7 252 MAD
Casablanca-Settat,Mellila,4 259 MAD,8 015 MAD
Casablanca-Settat,Oulad Yahya Louta,4 259 MAD,6 688 MAD
Casablanca-Settat,Lgharbia,4 256 MAD,7 985 MAD
Casablanca-Settat,Oulad Abbou,4 255 MAD,7 732 MAD
Casablanca-Settat,Ben Ahmed,4 105 MAD,7 901 MAD
Casablanca-Settat,El Gara,4 066 MAD,7 674 MAD
Casablanca-Settat,Loulad,4 066 MAD,7 674 MAD
Casablanca-Settat,Mediouna,4 065 MAD,7 640 MAD
Casablanca-Settat,Moualine El Oued,4 009 MAD,8 015 MAD
Casablanca-Settat,Sidi Moussa Ben Ali,4 009 MAD,7 901 MAD
Casablanca-Settat,Oulad M'Rah,4 005 MAD,7 663 MAD
Casablanca-Settat,Lahraouyine,3 949 MAD,7 479 MAD
Casablanca-Settat,Mechouar de Casablanca,3 849 MAD,7 413 MAD
Béni Mellal-Khénifra,Tanougha,6 606 MAD,9 006 MAD
Béni Mellal-Khénifra,Béni Mellal,5 805 MAD,5 709 MAD
Béni Mellal-Khénifra,Khouribga,5 114 MAD,7 007 MAD
Béni Mellal-Khénifra,Zaouiat Ahansal,4 970 MAD,8 015 MAD
Béni Mellal-Khénifra,Anergui,4 970 MAD,8 015 MAD
Béni Mellal-Khénifra,Tiffert N'Ait Hamza,4 970 MAD,8 015 MAD
Béni Mellal-Khénifra,Aghbala,4 970 MAD,6 214 MAD
Béni Mellal-Khénifra,Aguelmam Azegza,4 970 MAD,6 555 MAD
Béni Mellal-Khénifra,Sidi Amar,4 970 MAD,6 555 MAD
Béni Mellal-Khénifra,Maadna,4 770 MAD,10 167 MAD
Béni Mellal-Khénifra,Boutferda,4 661 MAD,7 985 MAD
Béni Mellal-Khénifra,Had Bouhssoussen,4 661 MAD,6 244 MAD
Béni Mellal-Khénifra,Sidi Hcine,4 661 MAD,6 989 MAD
Béni Mellal-Khénifra,El Hammam,4 661 MAD,6 526 MAD
Béni Mellal-Khénifra,Sebt Ait Rahou,4 661 MAD,7 351 MAD
Béni Mellal-Khénifra,Oulad Gouaouch,4 637 MAD,6 344 MAD
Béni Mellal-Khénifra,Ait Blal,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Agoudi N'Lkhair,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Ait Abbas,4 591 MAD,8 102 MAD
Béni Mellal-Khénifra,Tisqi,4 591 MAD,5 888 MAD
Béni Mellal-Khénifra,Sidi Yacoub,4 591 MAD,8 001 MAD
Béni Mellal-Khénifra,Bni Hassane,4 591 MAD,7 348 MAD
Béni Mellal-Khénifra,Moulay Aissa Ben Driss,4 591 MAD,7 234 MAD
Béni Mellal-Khénifra,Ouaoula,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Rfala,4 591 MAD,6 351 MAD
Béni Mellal-Khénifra,Ait Majden,4 591 MAD,7 348 MAD
Béni Mellal-Khénifra,Anzou,4 591 MAD,7 348 MAD
Béni Mellal-Khénifra,Bin El Ouidane,4 591 MAD,7 522 MAD
Béni Mellal-Khénifra,Afourar,4 591 MAD,7 007 MAD
Béni Mellal-Khénifra,Ait Taguella,4 591 MAD,7 234 MAD
Béni Mellal-Khénifra,Ait M'Hamed,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Tabant,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Ait Oumdis,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Ait Tamlil,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Tanant,4 591 MAD,5 918 MAD
Béni Mellal-Khénifra,Taounza,4 591 MAD,7 348 MAD
Béni Mellal-Khénifra,Bni Ayat,4 591 MAD,7 234 MAD
Béni Mellal-Khénifra,Tidili Fetouaka,4 591 MAD,7 435 MAD
Béni Mellal-Khénifra,Tabia,4 591 MAD,5 888 MAD
Béni Mellal-Khénifra,Tifni,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Foum Oudi,4 591 MAD,7 348 MAD
Béni Mellal-Khénifra,Semguet,4 591 MAD,5 774 MAD
Béni Mellal-Khénifra,Foum El Anceur,4 591 MAD,7 692 MAD
Béni Mellal-Khénifra,Khalfia,4 591 MAD,5 804 MAD
Béni Mellal-Khénifra,Bni Chegdale,4 591 MAD,6 237 MAD
Béni Mellal-Khénifra,El Kbab,4 591 MAD,6 214 MAD
Béni Mellal-Khénifra,Sidi Yahya Ou Saad,4 591 MAD,6 585 MAD
Béni Mellal-Khénifra,Ain Kaicher,4 591 MAD,6 441 MAD
Béni Mellal-Khénifra,Kasbat Troch,4 591 MAD,7 901 MAD
Béni Mellal-Khénifra,Chougrane,4 591 MAD,8 015 MAD
Béni Mellal-Khénifra,Oulad Abdoune,4 591 MAD,6 690 MAD
Béni Mellal-Khénifra,Oulad Ftata,4 591 MAD,7 105 MAD
Béni Mellal-Khénifra,Hel Merbaa,4 591 MAD,5 774 MAD
Béni Mellal-Khénifra,Ouled Gnaou,4 587 MAD,5 804 MAD
Béni Mellal-Khénifra,Had Boumoussa,4 587 MAD,7 148 MAD
Béni Mellal-Khénifra,Lehri,4 584 MAD,6 585 MAD
Béni Mellal-Khénifra,Tachraft,4 584 MAD,7 901 MAD
Béni Mellal-Khénifra,Tilougguite,4 582 MAD,8 015 MAD
Béni Mellal-Khénifra,Ait Mazigh,4 582 MAD,8 015 MAD
Béni Mellal-Khénifra,Sidi Lamine,4 582 MAD,6 203 MAD
Béni Mellal-Khénifra,Bni Smir,4 582 MAD,6 600 MAD
Béni Mellal-Khénifra,Tabaroucht,4 581 MAD,8 015 MAD
Béni Mellal-Khénifra,Ait Bou Oulli,4 581 MAD,8 015 MAD
Béni Mellal-Khénifra,Bni Zrantel,4 581 MAD,8 102 MAD
Béni Mellal-Khénifra,Rouached,4 581 MAD,8 015 MAD
Béni Mellal-Khénifra,Oulad Fennane,4 581 MAD,8 102 MAD
Béni Mellal-Khénifra,Ait Saadelli,4 577 MAD,6 555 MAD
Béni Mellal-Khénifra,Bni Ykhlef,4 568 MAD,7 988 MAD
Béni Mellal-Khénifra,Ouaouizeght,4 568 MAD,7 094 MAD
Béni Mellal-Khénifra,El Foqra,4 410 MAD,6 526 MAD
Béni Mellal-Khénifra,Moulay Bouazza,4 410 MAD,6 244 MAD
Béni Mellal-Khénifra,Ouled Yaich,4 336 MAD,8 264 MAD
Béni Mellal-Khénifra,Ait Ouqabli,4 318 MAD,7 901 MAD
Béni Mellal-Khénifra,Moha Ou Hammou Zayani,4 318 MAD,6 600 MAD
Béni Mellal-Khénifra,Boujniba,4 318 MAD,6 890 MAD
Béni Mellal-Khénifra,Bir Mezoui,4 318 MAD,7 018 MAD
Béni Mellal-Khénifra,Hattane,4 318 MAD,6 904 MAD
Béni Mellal-Khénifra,M'Fassis,4 318 MAD,6 441 MAD
Béni Mellal-Khénifra,Zaouiat Cheikh,4 317 MAD,6 441 MAD
Béni Mellal-Khénifra,M'Rirt,4 314 MAD,6 904 MAD
Béni Mellal-Khénifra,Oulad Boughadi,4 313 MAD,7 758 MAD
Béni Mellal-Khénifra,Souk Sebt Ouled Nemma,4 310 MAD,7 674 MAD
Béni Mellal-Khénifra,Isseksi,4 308 MAD,7 348 MAD
Béni Mellal-Khénifra,Azilal,4 307 MAD,7 674 MAD
Béni Mellal-Khénifra,Ait Ouaarda,4 283 MAD,6 351 MAD
Béni Mellal-Khénifra,Ouled Zmam,4 283 MAD,5 804 MAD
Béni Mellal-Khénifra,Sidi Hammadi,4 283 MAD,5 804 MAD
Béni Mellal-Khénifra,Lagnadiz,4 283 MAD,6 672 MAD
Béni Mellal-Khénifra,Bradia,4 282 MAD,7 065 MAD
Béni Mellal-Khénifra,Ouled Bourahmoune,4 282 MAD,7 234 MAD
Béni Mellal-Khénifra,Sidi Boulkhalf,4 282 MAD,8 015 MAD
Béni Mellal-Khénifra,Tagleft,4 282 MAD,7 985 MAD
Béni Mellal-Khénifra,Tamda Noumercid,4 282 MAD,8 073 MAD
Béni Mellal-Khénifra,Foum Jemaa,4 282 MAD,6 412 MAD
Béni Mellal-Khénifra,Tizi N'Isly,4 282 MAD,7 985 MAD
Béni Mellal-Khénifra,Guettaya,4 282 MAD,5 774 MAD
Béni Mellal-Khénifra,Ouled M'Barek,4 282 MAD,7 007 MAD
Béni Mellal-Khénifra,Bni Oukil,4 282 MAD,5 947 MAD
Béni Mellal-Khénifra,Sidi Aissa Ben Ali,4 282 MAD,5 804 MAD
Béni Mellal-Khénifra,Ouled Nacer,4 282 MAD,7 234 MAD
Béni Mellal-Khénifra,Ait Ammar,4 282 MAD,6 526 MAD
Béni Mellal-Khénifra,Bni Bataou,4 282 MAD,7 467 MAD
Béni Mellal-Khénifra,Braksa,4 282 MAD,7 985 MAD
Béni Mellal-Khénifra,Dar Ould Zidouh,4 282 MAD,7 674 MAD
Béni Mellal-Khénifra,Imlil,4 280 MAD,7 234 MAD
Béni Mellal-Khénifra,Sidi Jaber,4 278 MAD,6 010 MAD
Béni Mellal-Khénifra,Bzou,4 278 MAD,6 412 MAD
Béni Mellal-Khénifra,Ouled Youssef,4 278 MAD,5 980 MAD
Béni Mellal-Khénifra,Krifate,4 278 MAD,5 547 MAD
Béni Mellal-Khénifra,Demnate,4 275 MAD,7 674 MAD
Béni Mellal-Khénifra,Kerrouchen,4 274 MAD,6 214 MAD
Béni Mellal-Khénifra,Ait Oum El Bekht,4 273 MAD,6 614 MAD
Béni Mellal-Khénifra,Aguelmous,4 273 MAD,6 272 MAD
Béni Mellal-Khénifra,Naour,4 272 MAD,5 947 MAD
Béni Mellal-Khénifra,Tighassaline,4 272 MAD,6 441 MAD
Béni Mellal-Khénifra,Ait Ishaq,4 272 MAD,6 441 MAD
Béni Mellal-Khénifra,Oum Rabia,4 272 MAD,7 076 MAD
Béni Mellal-Khénifra,Ouaoumana,4 272 MAD,6 441 MAD
Béni Mellal-Khénifra,Boukhrisse,4 272 MAD,7 985 MAD
Béni Mellal-Khénifra,Ouled Said L'Oued,4 259 MAD,7 234 MAD
Béni Mellal-Khénifra,Timoulilt,4 256 MAD,5 774 MAD
Béni Mellal-Khénifra,El Ksiba,4 066 MAD,6 214 MAD
Béni Mellal-Khénifra,Kasba Tadla,4 062 MAD,7 660 MAD
Béni Mellal-Khénifra,Fquih Ben Salah,4 060 MAD,6 302 MAD
Béni Mellal-Khénifra,Bulanouare,4 014 MAD,
Béni Mellal-Khénifra,Dir El Ksiba,4 009 MAD,7 901 MAD
Béni Mellal-Khénifra,Oulad Aissa,4 009 MAD,8 102 MAD
Béni Mellal-Khénifra,Taghzirt,4 009 MAD,5 833 MAD
Béni Mellal-Khénifra,Lagfaf,4 006 MAD,6 904 MAD
Béni Mellal-Khénifra,Ouled Ayad,4 005 MAD,7 234 MAD
Béni Mellal-Khénifra,Bejaad,4 001 MAD,7 674 MAD
Béni Mellal-Khénifra,Oued Zem,4 001 MAD,7 674 MAD
Béni Mellal-Khénifra,El Borj,3 999 MAD,6 555 MAD
Béni Mellal-Khénifra,Khenifra,3 812 MAD,6 270 MAD
Drâa-Tafilalet,Guir,6 125 MAD,8 015 MAD
Drâa-Tafilalet,Aoufous,4 970 MAD,6 441 MAD
Drâa-Tafilalet,Gheris Es-soufli,4 970 MAD,7 901 MAD
Drâa-Tafilalet,Amellagou,4 970 MAD,7 901 MAD
Drâa-Tafilalet,Melaab,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Zaida,4 970 MAD,6 555 MAD
Drâa-Tafilalet,M'Zizel,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Ait Yahya,4 970 MAD,7 901 MAD
Drâa-Tafilalet,Sidi Aayad,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Amouguer,4 970 MAD,7 901 MAD
Drâa-Tafilalet,Mibladen,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Ait Ben Yacoub,4 970 MAD,6 555 MAD
Drâa-Tafilalet,Ait Izdeg,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Amersid,4 970 MAD,8 060 MAD
Drâa-Tafilalet,Boumia,4 970 MAD,6 272 MAD
Drâa-Tafilalet,Itzer,4 970 MAD,6 214 MAD
Drâa-Tafilalet,Tanourdi,4 970 MAD,6 642 MAD
Drâa-Tafilalet,Tounfite,4 970 MAD,6 441 MAD
Drâa-Tafilalet,En-nzala,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Zaouiat Sidi Hamza,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Anemzi,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Bou Azmou,4 970 MAD,7 887 MAD
Drâa-Tafilalet,Outerbat,4 970 MAD,7 234 MAD
Drâa-Tafilalet,Iznaguen,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Khouzama,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Tarmigt,4 970 MAD,3 691 MAD
Drâa-Tafilalet,Ghassate,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Ouisselsate,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Ait Zineb,4 970 MAD,7 901 MAD
Drâa-Tafilalet,Skoura Ahl El Oust,4 970 MAD,8 348 MAD
Drâa-Tafilalet,Telouet,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Siroua,4 970 MAD,8 102 MAD
Drâa-Tafilalet,Ait El Farsi,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Alnif,4 970 MAD,7 680 MAD
Drâa-Tafilalet,Assoul,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Ait Hani,4 970 MAD,7 901 MAD
Drâa-Tafilalet,N'Kob,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Taghbalte,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Afra,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Taftechna,4 970 MAD,8 015 MAD
Drâa-Tafilalet,Et-taous,4 969 MAD,6 230 MAD
Drâa-Tafilalet,Tamezmoute,4 969 MAD,8 015 MAD
Drâa-Tafilalet,Oued Naam,4 969 MAD,6 783 MAD
Drâa-Tafilalet,Tazarine,4 969 MAD,
Drâa-Tafilalet,Tansifte,4 966 MAD,8 015 MAD
Drâa-Tafilalet,Ouarzazate,4 790 MAD,7 453 MAD
Drâa-Tafilalet,Ait Boudaoud,4 720 MAD,8 060 MAD
Drâa-Tafilalet,Fezna,4 719 MAD,7 901 MAD
Drâa-Tafilalet,Lkheng,4 719 MAD,7 901 MAD
Drâa-Tafilalet,Tadighoust,4 719 MAD,8 053 MAD
Drâa-Tafilalet,Aghbalou N'Kerdous,4 719 MAD,8 015 MAD
Drâa-Tafilalet,Guers Tiaallaline,4 719 MAD,7 901 MAD
Drâa-Tafilalet,Agoudim,4 719 MAD,7 467 MAD
Drâa-Tafilalet,Gourrama,4 719 MAD,7 674 MAD
Drâa-Tafilalet,Idelsane,4 719 MAD,8 015 MAD
Drâa-Tafilalet,H'Ssyia,4 719 MAD,8 015 MAD
Drâa-Tafilalet,Tilmi,4 719 MAD,7 901 MAD
Drâa-Tafilalet,Imider,4 719 MAD,8 015 MAD
Drâa-Tafilalet,M'Ssici,4 719 MAD,8 015 MAD
Drâa-Tafilalet,Ait Sedrate JbelEl Oulia,4 719 MAD,7 901 MAD
Drâa-Tafilalet,Ikniouen,4 719 MAD,
Drâa-Tafilalet,Ktaoua,4 719 MAD,8 015 MAD
Drâa-Tafilalet,Tagounite,4 719 MAD,8 015 MAD
Drâa-Tafilalet,Oulad Yahia Lagraire,4 719 MAD,8 060 MAD
Drâa-Tafilalet,Bleida,4 719 MAD,8 015 MAD
Drâa-Tafilalet,Ait Sedrate JbelEL Soufla,4 719 MAD,7 988 MAD
Drâa-Tafilalet,Kalaat M'Gouna,4 684 MAD,7 312 MAD
Drâa-Tafilalet,Amerzgane,4 661 MAD,8 015 MAD
Drâa-Tafilalet,Er-rissani,4 661 MAD,8 592 MAD
Drâa-Tafilalet,Toundoute,4 661 MAD,8 015 MAD
Drâa-Tafilalet,Sidi Ali,4 661 MAD,6 897 MAD
